data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,RR,1400308,MUCAJAÍ,89663/2009,2009-10-28,CONVENIO,710486,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,Programa Calha Norte,1211,1521649.49,1476000.0,45649.49,1476000.0,1000000.0,24629.54,10.0,,22824.74,0.0,,CENGE CONSTRUCOES LTDA,84034602000150,2011.0,Outras obras e instalações,,Obras,915999.06,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RR,1400308,MUCAJAÍ,76809/2009,2009-10-01,CONVENIO,710497,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,Programa Calha Norte,1211,1270019.77,1231678.72,38341.05,1231678.72,1231678.72,,,,28685.61,0.0,,A. F. F. DA SILVA,84039262000150,2010.0,Energia Elétrica e Iluminação,,Obras,310477.13,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RR,1400308,MUCAJAÍ,76809/2009,2009-10-01,CONVENIO,710497,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,Programa Calha Norte,1211,1270019.77,1231678.72,38341.05,1231678.72,1231678.72,,,,28685.61,0.0,,A. F. F. DA SILVA,84039262000150,2011.0,Energia Elétrica e Iluminação,,Obras,907201.41,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1100015,ALTA FLORESTA D'OESTE,41849/2009,2009-06-23,CONVENIO,710504,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,535000.0,500000.0,35000.0,500000.0,500000.0,,5089.95,,35000.0,0.0,,CNH INDUSTRIAL LATIN AMERICA LTDA.,60850617000128,2010.0,Motoniveladora,,Equipamentos,535000.0,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1300805,BORBA,92411/2009,2009-10-30,CONVENIO,710579,2009,2009-12-29,Prestação de Contas Concluída,NÃO,,,420000.0,400000.0,20000.0,400000.0,400000.0,41138.59,,,20000.0,0.0,,VILA ENGENHARIA LTDA,84490309000105,2011.0,Calçadas e Acessibilidade,,,400991.89,,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1100049,CACOAL,47896/2009,2009-07-08,CONVENIO,710582,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,835832.42,800000.0,35832.42,800000.0,800000.0,17185.93,,,35832.42,0.0,,E J CONSTRUTORA LTDA - ME,10576469000127,2011.0,Pavimentação de Vias,,Obras,831370.89,1.0,831370.89,,,,134.04477169424123,6202.188115895884,1.0336980193159806
2026-06-01 06:52:13,RO,1100098,ESPIGÃO D'OESTE,42862/2009,2009-06-25,CONVENIO,710601,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,204688.83,200000.0,4688.83,200000.0,200000.0,4498.58,,,4688.83,0.0,,E J CONSTRUTORA LTDA - ME,10576469000127,2010.0,Pavimentação de Vias,,Obras,174330.02,1.0,196816.03,,,,134.04477169424123,1300.5357672408902,0.21675596120681503
2026-06-01 06:52:13,RO,1100098,ESPIGÃO D'OESTE,42862/2009,2009-06-25,CONVENIO,710601,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,204688.83,200000.0,4688.83,200000.0,200000.0,4498.58,,,4688.83,0.0,,E J CONSTRUTORA LTDA - ME,10576469000127,2011.0,Pavimentação de Vias,,Obras,22486.01,1.0,196816.03,,,,134.04477169424123,167.74999663016348,0.027958332771693913
2026-06-01 06:52:13,RO,1100114,JARU,45676/2009,2009-07-02,CONVENIO,710608,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,835000.0,800000.0,35000.0,800000.0,800000.0,33936.47,,,35000.0,0.0,,SEC ENGENHARIA E CONSTRUTORA LTDA,07103838000150,2011.0,Pavimentação de Vias,,Obras,789641.77,1.0,789641.77,,,,134.04477169424123,5890.88078572127,0.9818134642868782
2026-06-01 06:52:13,RO,1101104,ITAPUÃ DO OESTE,49467/2009,2009-07-13,CONVENIO,710627,2009,2009-12-29,Prestação de Contas Concluída,NÃO,,,206185.56,200000.0,6185.56,200000.0,200000.0,35274.88,,,2103.56,0.0,,G L TRANSPORTE TERRAPLANAGEM E CONSTRUCAO LTDA,07222333000104,2011.0,Centros Comunitários e Sociais,,,200517.16,,,,,,134.04477169424123,,
