data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-06-01 06:52:13,2019,884177,Em execução,1101492,SÃO FRANCISCO DO GUAPORÉ,RO,Programa Calha Norte,1211,770374.0,690916.49,0.8968585258588685,79457.51000000001
2026-06-01 06:52:13,2019,884180,Em execução,1100049,CACOAL,RO,,,2064897.0,0.0,0.0,2064897.0
2026-06-01 06:52:13,2019,891306,Em execução,1100304,VILHENA,RO,Programa Calha Norte,1211,3250000.0,1688535.33,0.5195493323076923,1561464.67
2026-06-01 06:52:13,2019,891716,Prestação de Contas em Análise,1100189,PIMENTA BUENO,RO,Programa Calha Norte,1211,1095853.0,1056959.06,0.9645080681441763,38893.939999999944
2026-06-01 06:52:13,2019,892973,Em execução,1302405,LÁBREA,AM,Programa Calha Norte,1211,312000.0,0.0,0.0,312000.0
2026-06-01 06:52:13,2019,893629,Em execução,1600600,SANTANA,AP,Programa Calha Norte,1211,3008000.0,1563226.5899999999,0.519689690824468,1444773.4100000001
2026-06-01 06:52:13,2019,894189,Em execução,1600550,PRACUÚBA,AP,Programa Calha Norte,1211,4010000.0,763578.6799999999,0.19041862344139648,3246421.3200000003
2026-06-01 06:52:13,2019,894221,Em execução,1200500,SENA MADUREIRA,AC,Programa Calha Norte,1211,388500.0,0.0,0.0,388500.0
2026-06-01 06:52:13,2019,894313,Em execução,1100122,JI-PARANÁ,RO,Programa Calha Norte,1211,5864642.5,793338.5,0.13527482706746405,5071304.0
2026-06-01 06:52:13,2019,894316,Em execução,1600303,MACAPÁ,AP,Programa Calha Norte,1211,2503000.01,0.0,0.0,2503000.01
2026-06-01 06:52:13,2019,894448,Em execução,1600212,CUTIAS,AP,Programa Calha Norte,1211,8184203.37,5796848.84,0.708297262168352,2387354.5300000003
2026-06-01 06:52:13,2019,894659,Em execução,1600204,CALÇOENE,AP,Programa Calha Norte,1211,5006000.0,4773769.07,0.953609482620855,232230.9299999997
2026-06-01 06:52:13,2019,894720,Prestação de Contas em Análise,1600055,SERRA DO NAVIO,AP,Programa Calha Norte,1211,300500.0,266681.11,0.8874579367720465,33818.890000000014
2026-06-01 06:52:13,2019,894948,Em execução,1200401,RIO BRANCO,AC,Programa Calha Norte,1211,1001001.0,235983.87,0.2357478863657479,765017.13
2026-06-01 06:52:13,2019,895547,Em execução,1200401,RIO BRANCO,AC,Programa Calha Norte,1211,4805000.0,2233470.46,0.46482215608740896,2571529.54
2026-06-01 06:52:13,2019,895552,Em execução,1600204,CALÇOENE,AP,Programa Calha Norte,1211,8133061.04,5579950.710000001,0.6860824826663297,2553110.329999999
2026-06-01 06:52:13,2019,895553,Em execução,1600550,PRACUÚBA,AP,Programa Calha Norte,1211,7510000.0,1752299.03,0.2333287656458056,5757700.97
2026-06-01 06:52:13,2019,895557,Em execução,1600501,OIAPOQUE,AP,Programa Calha Norte,1211,2509500.0,1678875.71,0.669008053397091,830624.29
2026-06-01 06:52:13,2019,895612,Prestação de Contas em Análise,1600535,PORTO GRANDE,AP,Programa Calha Norte,1211,5527722.0,5503914.11,0.9956930015655636,23807.889999999665
2026-06-01 06:52:13,2019,895631,Em execução,1600535,PORTO GRANDE,AP,Programa Calha Norte,1211,3003003.0,2333785.89,0.7771507021471508,669217.1099999999
2026-06-01 06:52:13,2020,897539,Em execução,1100122,JI-PARANÁ,RO,Programa Calha Norte,1211,570367.53,0.0,0.0,570367.53
2026-06-01 06:52:13,2020,897550,Em execução,1101807,VALE DO PARAÍSO,RO,Programa Calha Norte,1211,252500.0,211297.74,0.8368227326732673,41202.26000000001
2026-06-01 06:52:13,2020,897581,Prestação de Contas em Complementação,1600402,MAZAGÃO,AP,Programa Calha Norte,1211,290000.0,263500.0,0.9086206896551724,26500.0
2026-06-01 06:52:13,2020,897584,Em execução,1100122,JI-PARANÁ,RO,Programa Calha Norte,1211,1373635.0,0.0,0.0,1373635.0
2026-06-01 06:52:13,2020,897592,Em execução,1100098,ESPIGÃO D'OESTE,RO,Programa Calha Norte,1211,380099.0,41690.990000000005,0.10968455586570869,338408.01
2026-06-01 06:52:13,2020,897594,Em execução,1100122,JI-PARANÁ,RO,Programa Calha Norte,1211,1068589.0,285194.99,0.2668893185312594,783394.01
